100.000000	6.857000	1.248000	0.870000	0.876000	1.711000
200.000000	43.954000	6.136000	1.833000	1.979000	1.892000
300.000000	156.753000	18.085000	4.303000	1.795000	1.664000
400.000000	334.090000	40.794000	9.294000	3.292000	2.621000
500.000000	626.976000	84.069000	17.084000	7.224000	4.352000
600.000000	1127.463000	157.373000	25.175000	9.843000	6.113000
700.000000	1759.265000	248.319000	37.115000	18.355000	8.468000
800.000000	2640.171000	349.384000	53.686000	24.489000	9.942000
900.000000	3724.024000	469.924000	73.669000	29.243000	16.969000
1000.000000	5072.878000	647.037000	85.812000	36.625000	18.001000
